+--------------------------------+-----------------+------------------------------------------+
| Email                          | Password        | sha1(Password)                           |
+--------------------------------+-----------------+------------------------------------------+
| hulk.hogan@hyperAV.co.uk       | HulkHogan       | 08426e3c339878b1e66d1e0b977d05353750c6f4 |
| steve.austin@hyperAV.co.uk     | SteveAustin     | 83e715ed38e1d861ac13b651bf15bd1b24e60d5c |
| vince.mcmahon@hyperAV.co.uk    | VinceMcMahon    | a9ce51789ef830b12d3779ac7acff82441051455 |
| andre.giant@hyperAV.co.uk      | AndreGiant      | ce8fb61ca792822e3d0d2cce8c2ac006144ec534 |
| jesse.ventura@hyperAV.co.uk    | JesseVentura    | 55899b50ee18e5094bc717ad008f4c0e32a65b80 |
| john.cena@hyperAV.co.uk        | JohnCena        | 681cbb6826c468e8167e9e0c6cfa5648a04c196c |
| roddy.piper@hyperAV.co.uk      | RoddyPiper      | 93afdb999a8e72eaea3fb5688994807b60fddc11 |
| ric.flair@hyperAV.co.uk        | RicFlair        | 1fc008055278792d6e8c8a4894a1353a5150e169 |
| stacy.keibler@hyperAV.co.uk    | StacyKeibler    | 02b097ce8d66e09253f487e60c4583f2571250bc |
| shawn.michaels@hyperAV.co.uk   | ShawnMichaels   | 63454ab966a1ea74ea3b44fb42253c91f7499bd9 |
| bret.hart@hyperAV.co.uk        | BretHart        | 9e05c954ce681f483f27bb97c54a41032bec3a2e |
| randy.savage@hyperAV.co.uk     | RandySavage     | f161c7eff0d952898997cb3bd8658731c0092fe5 |
| bruno.sammartino@hyperAV.co.uk | BrunoSammartino | 0bd31275f75aec6d2b1feca7f826bf4a0373d777 |
| ricky.steamboat@hyperAV.co.uk  | RickySteamboat  | be2ad898846cee26635f9a588fc4752f4c314123 |
| kurt.angle@hyperAV.co.uk       | KurtAngle       | ad8716e30f8f3c20294522bebaaf848125efb20f |
| buddy.rogers@hyperAV.co.uk     | BuddyRogers     | 58768414411231a6683573e34a79768188198743 |
| chris.jericho@hyperAV.co.uk    | ChrisJericho    | 90462767102cabb94325ee3c27667b06ee5675f2 |
+--------------------------------+-----------------+------------------------------------------+
